0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
496,543,494,500,542,400,464,509,464,470,514,530,453,507,497,519,0
494,541,491,497,538,407,460,507,461,467,511,526,456,504,495,516,0
495,542,491,498,539,465,461,507,462,467,512,528,457,505,497,517,0
495,542,493,498,539,398,462,508,462,468,512,528,460,505,497,517,0
496,542,493,498,540,499,462,509,462,468,513,528,460,506,498,518,0
496,543,494,499,540,434,462,509,462,468,513,529,460,507,498,517,0
494,541,493,498,539,404,462,509,462,468,512,528,457,506,498,517,0
494,540,493,498,537,503,461,508,461,467,512,527,458,506,498,516,0
494,541,493,498,538,430,461,509,461,467,512,527,461,506,498,516,0
496,541,491,498,539,399,462,510,462,468,512,528,455,507,499,517,0
