0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
498,547,73,477,530,364,469,480,477,251,488,498,110,531,288,317,2
494,547,73,476,529,366,470,483,478,258,491,501,123,532,289,327,2
498,547,74,475,530,366,469,486,478,258,490,501,132,532,286,321,2
501,548,74,477,532,371,471,489,478,255,489,501,126,533,288,316,2
503,548,73,478,533,373,470,486,478,237,488,501,115,533,280,311,2
501,546,73,476,531,372,468,485,477,237,486,499,110,532,275,318,2
500,547,73,476,532,371,468,484,478,240,487,500,100,532,268,314,2
499,548,73,477,529,367,468,483,478,243,489,502,93,533,265,302,2
488,549,69,476,529,367,469,488,482,208,314,432,97,537,257,283,2
499,548,73,478,527,368,470,489,482,252,461,494,89,534,264,301,2
