0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
461,508,530,528,480,383,424,227,469,251,500,486,521,565,283,515,1
461,508,530,528,481,382,425,220,470,255,499,486,522,565,289,516,1
461,508,528,528,482,382,426,214,470,256,500,488,523,566,291,517,1
462,510,530,529,483,384,427,204,470,255,500,487,522,565,294,517,1
460,509,531,529,484,383,427,201,470,256,501,486,522,565,296,515,1
458,509,530,527,483,381,426,199,469,258,501,486,521,564,299,518,1
459,510,532,529,486,383,429,206,471,261,503,487,523,566,299,518,1
459,510,531,529,485,382,429,198,471,259,503,487,523,565,301,518,1
460,510,530,528,485,381,428,202,470,261,502,486,522,564,303,518,1
461,511,530,528,485,380,428,207,471,263,504,488,523,566,306,518,1
