0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
304,411,409,509,513,434,440,397,477,504,511,516,316,512,442,444,1
304,409,411,508,513,435,440,398,476,504,510,516,319,512,440,438,1
305,410,411,509,512,434,440,397,476,504,510,515,320,511,440,458,1
302,409,411,509,512,434,440,398,476,505,510,515,326,511,440,458,1
303,410,413,508,512,434,440,398,475,505,509,515,323,511,439,437,1
301,409,411,510,512,434,440,400,476,505,510,515,324,511,441,451,1
302,409,414,508,512,433,439,397,475,505,509,515,324,510,440,467,1
303,410,414,509,513,434,440,398,476,506,510,516,325,511,442,442,1
303,410,415,510,513,435,441,400,476,506,510,516,326,511,441,439,1
303,409,414,509,512,434,440,399,476,506,510,515,324,511,442,457,1
