0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
117,502,423,533,526,430,432,298,463,389,496,481,361,498,514,492,1
124,503,422,532,525,430,432,296,464,388,495,481,352,498,516,484,1
125,502,422,533,525,430,434,303,465,390,496,482,352,500,516,484,1
129,503,423,533,525,430,434,303,465,390,496,481,351,500,515,485,1
125,504,420,533,524,430,434,281,466,392,492,482,336,501,514,491,1
124,506,419,533,525,430,434,266,466,390,492,482,337,501,515,484,1
121,505,415,532,526,432,435,268,467,392,490,481,335,502,517,486,1
119,495,416,531,525,435,434,291,466,391,490,482,324,501,514,492,1
115,494,416,529,524,433,432,287,464,390,490,480,326,499,511,480,1
106,496,419,530,524,433,432,272,465,391,492,482,336,499,510,482,1
