0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
425,508,485,505,508,452,443,426,470,471,492,467,452,525,331,392,3
428,509,486,505,509,453,443,427,470,470,492,467,452,525,331,402,3
428,509,486,504,509,453,443,427,469,470,491,466,452,524,331,380,3
430,510,486,506,510,453,443,428,470,470,492,467,453,524,330,390,3
430,509,485,504,509,452,442,427,469,469,491,465,452,523,330,392,3
431,509,486,504,509,452,442,427,469,469,491,466,452,523,330,390,3
430,508,485,504,508,451,441,426,468,468,489,464,451,522,329,380,3
433,509,486,506,509,453,443,428,469,468,491,465,453,523,330,390,3
430,508,485,503,508,453,440,427,467,467,489,464,451,521,330,402,3
429,508,485,504,506,454,440,424,466,467,490,465,451,521,329,378,3
