0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
215,281,280,538,416,342,487,481,488,518,505,536,131,518,418,499,1
160,325,299,537,509,413,482,453,478,397,490,556,210,524,430,497,1
207,344,324,539,518,427,483,478,486,509,503,512,183,522,434,501,1
216,335,320,539,500,439,483,492,485,514,499,531,138,517,447,504,1
223,340,325,538,503,440,483,493,486,504,506,534,157,521,431,502,1
223,342,329,538,504,442,482,481,486,505,507,535,155,521,435,502,1
224,349,333,540,514,443,482,474,486,495,507,533,171,522,439,502,1
222,352,336,540,515,444,482,467,486,494,508,533,170,522,439,503,1
224,353,338,540,515,444,482,466,486,495,508,534,171,523,440,503,1
224,355,338,540,516,444,482,466,486,496,508,534,170,522,439,503,1
