0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
521,560,544,516,534,403,372,96,491,396,538,525,120,535,172,395,1
518,558,544,520,535,407,388,100,491,415,539,528,168,535,206,415,1
512,551,537,513,528,402,384,99,484,414,531,522,174,528,207,411,1
519,560,546,522,537,409,391,101,492,422,540,530,187,538,213,419,1
519,559,544,521,536,409,391,100,492,429,539,530,177,537,213,420,1
518,559,545,520,538,413,392,101,492,431,539,530,172,537,213,421,1
518,559,545,520,538,413,392,101,492,431,538,530,184,537,214,422,1
518,559,545,520,537,413,393,101,492,431,538,529,191,537,214,422,1
518,558,544,519,537,412,392,100,492,432,538,530,183,537,214,422,1
517,559,544,519,537,413,393,100,492,433,538,530,182,537,214,423,1
