0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
367,539,389,552,561,485,443,96,509,456,544,508,114,537,341,464,1
367,539,390,552,561,486,444,96,510,456,544,509,114,537,342,465,1
368,539,392,552,561,485,445,96,509,456,544,508,116,537,342,465,1
368,539,392,552,561,486,445,96,509,456,545,509,117,538,343,465,1
368,540,392,552,561,486,446,96,510,456,544,509,116,538,343,466,1
368,540,391,552,561,486,446,97,509,456,545,509,115,538,343,467,1
315,534,386,553,560,488,447,96,510,458,544,511,120,540,340,464,1
363,540,390,552,562,487,449,97,510,461,545,512,117,540,346,466,1
362,540,392,552,562,486,449,97,510,460,545,513,116,540,347,468,1
364,540,389,552,562,486,449,97,510,461,545,512,114,540,347,468,1
