0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
474,546,484,516,539,433,462,361,483,507,544,555,468,531,535,510,0
475,546,482,516,540,433,463,363,484,506,544,553,468,532,535,511,0
475,546,483,517,539,433,463,366,484,507,544,554,468,532,535,511,0
477,546,484,518,540,435,464,370,485,508,544,555,469,532,535,511,0
476,546,484,517,539,433,463,371,484,507,543,553,469,531,534,511,0
474,543,480,515,536,431,461,366,481,505,541,552,466,529,532,508,0
473,541,480,513,534,430,459,371,479,503,539,548,464,526,529,506,0
475,545,482,517,538,433,462,373,483,506,543,553,467,531,533,510,0
476,545,482,517,537,434,462,374,483,506,542,553,468,530,533,510,0
475,545,483,517,537,433,462,376,482,506,542,552,468,530,533,510,0
