0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
512,572,481,542,530,344,416,109,505,551,511,465,196,502,385,433,1
513,573,482,543,531,343,415,110,505,552,513,466,198,503,386,436,1
507,568,476,537,525,334,410,98,499,546,506,461,189,498,378,429,1
507,568,476,538,526,333,410,97,500,547,507,462,188,498,379,430,1
510,569,478,540,527,334,413,99,501,548,509,464,191,500,381,432,1
511,569,478,540,526,334,413,100,501,548,509,465,192,500,382,433,1
509,570,478,540,525,323,410,98,501,548,509,465,189,500,382,433,1
511,570,480,540,526,325,411,99,502,549,510,467,192,501,383,434,1
512,572,482,541,527,321,411,102,503,550,513,469,198,503,385,437,1
503,573,466,543,534,323,418,99,503,556,507,470,177,502,384,429,1
