0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
551,547,554,534,528,371,417,79,506,537,507,550,346,546,281,440,1
551,547,554,534,528,371,417,79,506,537,507,550,345,546,280,441,1
551,547,554,535,528,371,418,78,505,537,507,551,347,546,281,441,1
551,547,554,535,528,371,420,81,506,538,508,551,352,546,282,442,1
551,547,554,535,528,372,419,78,505,537,508,550,347,546,282,442,1
552,547,555,535,529,374,420,79,506,538,508,551,346,547,283,443,1
551,548,555,535,529,374,421,79,506,538,508,551,350,547,283,444,1
551,547,555,535,529,373,422,81,506,538,508,551,355,547,284,444,1
551,547,555,535,529,374,420,78,505,537,508,550,347,546,283,444,1
551,547,555,535,529,375,421,78,505,537,508,551,348,546,283,444,1
