0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
433,505,469,496,461,350,406,261,442,422,466,497,304,450,317,330,1
439,517,484,495,463,317,405,240,443,422,473,502,317,454,315,338,1
429,510,480,493,468,334,403,244,441,419,470,499,319,453,315,343,1
435,513,485,493,471,343,401,236,442,421,474,501,322,455,317,360,1
438,513,486,493,473,348,400,238,444,423,474,502,325,457,317,332,1
439,513,487,494,472,348,399,239,444,423,474,502,326,457,318,345,1
439,513,488,494,473,349,399,241,444,424,474,502,327,458,317,364,1
439,513,487,494,473,347,398,234,445,424,475,502,326,459,317,342,1
439,514,489,494,473,348,399,236,445,424,475,502,327,460,318,342,1
438,513,487,494,473,345,399,233,445,424,475,501,325,460,318,348,1
