0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
421,476,412,539,483,492,484,468,501,546,528,506,408,535,303,432,3
422,477,419,539,489,492,484,470,502,546,528,510,410,535,305,433,3
424,478,422,539,490,492,485,472,502,547,527,511,412,535,305,433,3
427,478,424,538,493,491,485,473,501,544,528,505,412,535,306,434,3
425,479,422,538,493,492,485,473,501,546,527,508,411,535,306,434,3
426,479,425,538,493,492,486,473,502,545,528,507,412,535,306,434,3
424,477,424,539,493,492,486,472,502,545,527,509,412,536,307,435,3
416,475,422,540,495,493,486,475,502,546,527,512,412,536,306,435,3
420,480,425,541,496,494,487,476,502,547,528,514,413,536,308,435,3
427,484,425,540,502,495,486,479,503,548,527,515,411,537,308,435,3
