0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
466,558,371,512,477,83,470,97,476,283,472,415,485,559,452,477,2
472,558,393,512,477,84,470,98,475,283,473,415,487,558,453,477,2
489,558,439,511,476,85,472,113,475,287,474,415,487,557,454,478,2
493,558,443,511,477,86,473,115,475,288,474,416,488,557,454,478,2
494,558,444,511,478,86,473,115,475,288,474,416,488,557,454,478,2
494,558,445,512,478,86,473,116,475,289,475,416,488,557,454,478,2
495,559,444,511,479,87,473,117,475,289,475,416,488,557,454,478,2
496,559,445,512,479,86,473,118,476,289,475,417,489,557,454,479,2
487,556,406,509,485,85,473,122,475,289,471,417,490,558,454,473,2
491,558,423,511,482,84,473,112,475,269,471,410,494,557,459,482,2
