0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
273,493,125,518,524,448,463,479,494,360,482,440,137,548,503,475,1
263,493,136,519,526,450,464,478,493,363,484,442,170,547,511,474,1
269,495,152,521,527,450,463,476,493,368,484,442,166,548,512,476,1
269,494,150,521,527,450,464,477,493,366,484,442,170,548,513,476,1
272,496,149,521,527,450,465,477,494,368,485,443,180,548,514,477,1
277,497,153,521,527,451,466,479,494,366,486,444,196,549,514,478,1
279,499,154,521,529,452,466,479,494,361,486,444,194,549,516,479,1
281,499,161,523,529,452,466,479,494,362,486,444,193,549,518,479,1
277,497,155,522,529,452,466,476,494,366,486,444,187,549,517,479,1
281,498,160,522,528,452,466,475,494,366,486,444,202,549,516,479,1
