0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
215,532,409,522,539,448,457,542,474,349,494,475,389,535,473,508,1
210,532,410,522,539,447,457,541,474,350,495,476,390,535,473,507,1
218,532,413,522,539,447,457,541,474,353,495,476,393,535,473,508,1
211,533,413,523,540,449,458,542,476,353,496,477,392,536,474,509,1
208,533,413,524,541,448,458,542,475,355,496,478,390,536,473,509,1
214,533,416,523,540,448,459,542,476,356,497,478,391,537,468,509,1
205,533,415,524,541,449,459,543,475,355,497,478,390,537,472,509,1
207,533,415,524,540,449,459,543,476,358,497,479,391,537,471,509,1
213,533,415,523,541,449,459,543,475,360,496,478,393,537,471,510,1
209,533,414,523,540,449,459,542,475,359,496,479,392,536,473,509,1
