0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
445,548,508,523,510,367,479,512,483,444,533,521,394,528,509,528,0
447,549,509,524,511,368,480,514,484,445,534,522,396,529,509,529,0
445,547,508,523,510,368,478,513,483,445,533,521,395,527,508,528,0
443,545,505,520,507,365,475,510,480,441,530,518,392,525,505,526,0
445,546,508,522,509,368,478,513,482,444,532,519,395,527,508,527,0
448,550,512,526,513,371,481,516,485,447,535,523,398,530,511,531,0
454,554,512,529,515,374,484,517,489,451,539,527,402,534,515,534,0
445,547,505,521,507,364,475,511,480,443,532,520,394,527,508,527,0
448,549,508,523,509,366,476,513,481,444,532,520,394,527,507,528,0
439,541,497,515,501,356,469,502,473,435,524,512,385,519,500,519,0
