0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
433,466,492,495,511,391,453,516,470,472,515,518,473,517,481,515,0
433,467,493,495,512,391,453,516,471,472,515,518,473,517,481,515,0
433,466,491,494,511,391,452,514,470,471,515,517,472,516,480,514,0
432,466,492,494,511,391,452,514,469,472,514,517,472,516,480,514,0
432,466,488,495,511,390,452,512,469,471,514,517,471,516,480,514,0
431,464,489,492,508,389,450,511,467,469,511,514,469,513,477,511,0
428,460,487,488,505,386,446,509,464,466,508,510,466,509,475,508,0
426,460,486,487,503,385,445,508,462,465,506,509,463,508,473,506,0
433,467,491,495,511,391,452,513,469,472,514,517,471,516,481,514,0
434,467,494,496,512,392,453,516,470,472,514,517,472,516,481,514,0
