0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
483,524,404,518,539,479,471,536,467,391,487,455,410,510,208,449,0
484,525,406,518,540,479,471,537,467,391,487,456,411,510,209,450,0
484,525,407,519,540,479,471,536,467,391,486,456,411,510,211,451,0
484,525,408,519,540,479,471,538,467,392,486,457,411,510,210,452,0
484,526,409,519,540,479,471,537,467,392,486,458,412,510,211,452,0
485,526,410,519,540,479,471,538,468,393,485,457,412,511,210,452,0
485,526,411,519,540,480,471,538,467,393,485,457,411,511,210,453,0
485,526,411,520,540,480,471,538,468,394,485,457,412,511,210,452,0
486,527,411,520,541,480,471,539,468,395,486,457,412,511,210,453,0
485,527,411,520,540,480,471,537,468,395,485,456,412,511,211,453,0
