0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
485,553,406,543,537,464,447,80,502,516,522,551,105,530,264,455,1
486,554,407,543,538,464,448,80,502,517,522,551,106,530,265,455,1
487,554,409,543,538,465,449,87,502,518,523,551,110,530,266,455,1
488,554,409,543,538,465,449,83,502,518,523,551,108,530,266,456,1
489,554,410,543,538,466,449,82,502,518,523,552,107,531,267,456,1
490,555,410,544,538,466,450,80,502,519,524,552,106,531,268,457,1
490,555,411,544,538,466,450,84,502,519,524,552,106,531,269,457,1
490,555,414,544,539,467,452,89,503,520,525,553,110,532,270,457,1
491,556,412,544,539,467,452,89,503,521,525,553,110,532,271,458,1
492,554,423,545,542,469,452,88,503,522,525,553,113,532,272,458,1
