0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
526,534,529,517,505,457,424,347,485,535,435,438,518,530,378,418,3
526,534,530,518,505,458,425,345,485,536,437,440,518,531,380,421,3
527,535,531,519,505,458,426,347,485,536,439,441,518,532,385,419,3
527,535,531,519,506,458,426,345,486,536,438,441,518,532,384,421,3
526,535,530,519,506,458,426,342,485,536,438,442,518,532,383,423,3
526,535,531,519,506,459,427,342,486,537,440,443,519,532,387,425,3
527,535,531,519,506,459,427,343,486,536,440,444,519,532,388,425,3
526,535,530,520,506,459,427,338,486,537,440,444,519,533,388,427,3
526,536,531,520,507,459,427,334,486,537,442,444,519,533,390,429,3
526,535,531,520,506,459,428,336,485,537,443,443,519,533,393,430,3
