0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
430,474,242,516,526,450,452,456,491,490,500,490,121,519,270,438,1
430,474,239,516,526,451,452,458,491,489,500,491,124,520,270,438,1
430,473,207,515,526,452,453,465,491,490,499,493,115,520,274,439,1
431,475,224,516,527,452,453,466,491,492,501,494,129,519,274,441,1
432,475,217,517,527,453,453,469,491,492,502,495,125,520,274,441,1
432,474,228,517,527,454,454,474,491,493,501,495,133,520,274,441,1
433,475,175,518,527,455,454,477,491,494,501,494,111,519,280,442,1
433,475,217,518,526,455,454,479,491,492,503,496,130,520,279,444,1
432,474,201,518,527,456,454,477,491,492,503,496,126,520,279,444,1
430,474,202,518,528,456,454,480,491,492,504,496,130,520,279,444,1
