0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
490,559,160,526,516,468,494,508,492,551,426,484,506,556,476,389,3
492,560,159,526,517,469,494,509,492,551,427,485,507,556,477,391,3
493,560,160,527,518,469,494,509,492,551,428,485,506,555,478,391,3
493,559,157,527,518,469,494,511,492,551,429,485,506,555,479,393,3
493,559,160,527,519,470,494,511,492,551,430,486,506,555,480,394,3
494,559,158,526,519,470,494,511,492,551,430,485,506,555,480,394,3
494,559,156,526,519,470,494,511,492,551,430,486,507,555,481,395,3
495,560,155,527,520,470,494,511,492,551,430,486,507,556,481,395,3
495,559,154,527,520,470,494,511,492,551,431,486,507,555,482,396,3
495,559,156,528,520,470,495,512,492,551,432,487,506,555,483,397,3
