0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
429,472,481,496,514,455,456,522,464,445,521,499,435,504,464,475,0
427,469,478,493,512,452,454,519,461,443,518,496,433,501,461,474,0
423,466,475,490,508,447,450,516,458,441,515,493,431,498,458,464,0
422,465,474,489,509,447,449,514,457,440,512,492,430,496,457,464,0
427,470,477,494,514,451,453,519,461,444,517,496,433,501,462,478,0
427,469,480,492,512,450,451,519,459,440,515,495,431,500,460,474,0
428,469,480,491,513,450,451,519,460,443,515,495,429,500,460,466,0
428,468,482,491,512,450,451,518,459,443,515,494,430,499,460,466,0
428,468,480,490,511,449,450,517,459,443,514,494,428,498,459,476,0
428,469,482,491,512,449,451,518,459,444,514,495,430,499,460,466,0
