0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
366,542,428,515,522,120,482,390,427,258,430,433,529,520,508,464,2
348,540,428,517,523,121,482,395,428,258,430,435,530,521,509,464,2
351,541,429,518,523,119,483,392,429,242,432,430,529,521,510,471,2
343,542,424,518,524,120,482,386,430,234,415,410,530,522,509,465,2
361,545,426,516,525,124,482,383,432,248,421,416,530,523,512,467,2
362,545,425,516,525,125,482,386,433,250,422,415,529,523,512,467,2
363,545,425,516,525,127,481,386,433,245,423,410,529,522,512,467,2
365,545,422,516,526,126,482,384,434,245,425,408,530,523,513,468,2
366,546,421,517,526,127,482,386,435,244,426,407,530,523,513,468,2
358,544,416,517,526,126,482,382,436,247,426,404,530,523,514,469,2
